Warehouse_ID,Location,Current_Stock,Demand_Forecast,Lead_Time_Days,Shipping_Time_Days,Stockout_Risk,Operational_Cost,Supplier_ID,Product_Category,Monthly_Sales,Order_Processing_Time,Return_Rate,Customer_Rating,Warehouse_Capacity,Storage_Cost,Transportation_Cost,Backorder_Quantity,Damaged_Goods,Employee_Count,Total_Logistics_Cost,Net_Profit,Operating_Cost_Ratio,Delivery_Efficiency,Stock_Utilization,Inventory_Turnover_Ratio,Demand_Gap,Risk_Score
WH239,Dallas,3926,484,8,3,7,93895,S693,Groceries,4893,4.766230718764152,6.053951997842127,3.840976300612479,28701,16975,2778,228,26,83,113648,-108755,23.22665031677907,15.766230718764152,13.678965889690256,1.2463066734589914,-3442,39.05395199784213
WH244,Houston,3032,5122,3,6,25,46847,S880,Electronics,4453,4.3043353239038735,3.8869957959395016,2.113928974421545,36198,14052,1535,288,16,39,62434,-57981,14.020660229059061,13.304335323903874,8.376153378639705,1.4686675461741425,2090,44.8869957959395
WH340,Chicago,4763,4343,5,5,16,64176,S116,Furniture,5956,1.030779123572021,7.335160144687795,4.211437108477245,22784,9863,13435,153,3,49,87474,-81518,14.686702484889187,11.030779123572021,20.90502106741573,1.2504723913499896,-420,26.335160144687794
WH428,Atlanta,2219,777,7,6,15,38940,S431,Apparel,5814,2.871244047490718,1.393481491074176,1.75167148929249,13172,15911,14508,143,39,35,69359,-63545,11.929652562779498,15.871244047490718,16.846340722745218,2.6200991437584498,-1442,55.393481491074176
WH202,Dallas,809,4756,2,7,16,33933,S821,Electronics,2279,4.060930355752779,4.212666134979816,4.231919058684772,39619,19011,1904,296,30,67,54848,-52569,24.066695919262834,13.06093035575278,2.041949569650925,2.8170580964153276,3947,50.21266613497981
WH211,San Francisco,3840,666,9,1,19,30165,S459,Automotive,1326,0.6600062771781208,2.4114358026966034,1.1109878521328849,32490,9766,807,181,17,20,40738,-39412,30.722473604826547,10.660006277178121,11.819021237303785,0.3453125,-3174,38.4114358026966
WH008,Atlanta,4757,4776,7,7,12,38284,S655,Apparel,6186,3.0847965356528952,4.195065786911762,1.0104315934628012,19414,6995,8901,237,25,94,54180,-47994,8.758486905916586,17.084796535652895,24.502936025548575,1.3003994113937356,19,41.19506578691176
WH438,Atlanta,4803,2432,9,5,20,45299,S845,Electronics,5539,2.433819850658695,6.010138788250456,2.4498315534415,42401,17954,13519,172,9,91,76772,-71233,13.860263585484745,16.433819850658693,11.32756302917384,1.153237559858422,-2371,35.01013878825046
WH106,New York,1401,2940,10,6,22,36265,S456,Apparel,1822,1.2916557112728806,3.147317563356474,4.739126956890537,18053,17284,773,205,17,78,54322,-52500,29.814489571899013,17.29165571127288,7.760483022212375,1.3004996431120628,1539,42.147317563356474
WH099,New York,4213,3732,5,7,20,57333,S569,Electronics,4608,3.099240002721201,3.218993567473094,2.698892569190911,31286,5653,7017,97,44,58,70003,-65395,15.19162326388889,15.099240002721201,13.466087067698012,1.0937574175172087,-481,67.21899356747309
